"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","5","","com.javatechie.calculator.ComputationTest","","com.javatechie.calculator.ComputationTest","computeWithEmptyOperator_shouldThrowException","computeWithEmptyOperator_shouldThrowException",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","1","","com.javatechie.calculator.ComputationTest","","com.javatechie.calculator.ComputationTest","computeWithOperandOutOfRange_shouldThrowException","computeWithOperandOutOfRange_shouldThrowException",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","1","","com.javatechie.calculator.ComputationTest","","com.javatechie.calculator.ComputationTest","computeDivision_shouldReturnCorrectResult","computeDivision_shouldReturnCorrectResult",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","2","","com.javatechie.calculator.DivisionTest","","com.javatechie.calculator.DivisionTest","testPositiveAndNegativeDivision","testPositiveAndNegativeDivision",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","1","","com.javatechie.calculator.MainAppTest","","com.javatechie.calculator.MainAppTest","testDivideByZero_shouldPrintErrorMessage","testDivideByZero_shouldPrintErrorMessage",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","1","","com.javatechie.calculator.MainAppTest","","com.javatechie.calculator.MainAppTest","testInvalidIntegerInput_shouldPrintErrorMessage","testInvalidIntegerInput_shouldPrintErrorMessage",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","2","","com.javatechie.calculator.DivisionTest","","com.javatechie.calculator.DivisionTest","testDivisionByZero_shouldThrowException","testDivisionByZero_shouldThrowException",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","1","","com.javatechie.calculator.AdditionTest","","com.javatechie.calculator.AdditionTest","testNegativeAddition","testNegativeAddition","Addition of two negative numbers"
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","9","","com.javatechie.calculator.MultiplicationTest","","com.javatechie.calculator.MultiplicationTest","testMultiplicationWithZero","testMultiplicationWithZero",""
"passed","Mon May 05 17:21:54 UTC 2025","Mon May 05 17:21:54 UTC 2025","1","","com.javatechie.calculator.SubtractionTest","","com.javatechie.calculator.SubtractionTest","testPositiveSubtraction","testPositiveSubtraction",""
